,国外资产,国外资产_外汇,国外资产_货币黄金,国外资产_其他国外资产,对政府债权,对政府债权_其中中央政府,对其他存款性公司债权,对其他金融性公司债权,其他资产,总资产,储备货币,储备货币_货币发行,储备货币_金融性公司存款,储备货币_金融性公司存款_其他存款性公司存款,储备货币_非金融机构存款,不计入储备货币的金融性公司存款,发行债券,国外负债,政府存款,自有资金,其他负债,总负债
2026-01-01,226843.32,212922.61,4497.5,9423.21,22556.59,22556.59,216858.88,6078.32,20852.8,493189.91,395255.08,151746.07,217858.77,217858.77,25650.24,6871.58,2400,1656.83,65132.3,219.75,21654.37,493189.91
2026-02-01,227529.92,213763.92,4509.01,9256.98,22830.33,22830.33,224724.13,3148.32,21630.09,499862.79,408642.86,159072.75,221633.05,221633.05,27937.05,6294.68,2400,1858.91,58967.42,219.75,21479.16,499862.79
2026-03-01,228260.72,214425.31,4560.19,9275.22,22615.59,22615.59,215879.7,3135.34,21507.35,491398.71,408745.66,152481.25,231173.73,231173.73,25090.69,6423.13,2400,1959.37,50420.37,219.75,21230.42,491398.71
2026-04-01,,,,,,,,,,,,,,,,,,,,,,
2026-05-01,,,,,,,,,,,,,,,,,,,,,,
2026-06-01,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,,,,,,,,,,,,,,,,,,,,,,
2026-08-01,,,,,,,,,,,,,,,,,,,,,,
2026-09-01,,,,,,,,,,,,,,,,,,,,,,
2026-10-01,,,,,,,,,,,,,,,,,,,,,,
2026-11-01,,,,,,,,,,,,,,,,,,,,,,
2026-12-01,,,,,,,,,,,,,,,,,,,,,,
