, 官方储备资产,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
0,     Official reserve assets,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,
2,项目  Item,2025.01,,2025.02,,2025.03,,2025.04,,2025.05,,2025.06,,2025.07,,2025.08,,2025.09,,2025.10,,2025.11,,2025.12,
3,,亿美元,亿SDR,亿美元,亿SDR,亿美元,亿SDR,亿美元,亿SDR,亿美元,亿SDR,亿美元,亿SDR,亿美元,亿SDR,亿美元,亿SDR,亿美元,亿SDR,亿美元,亿SDR,亿美元,亿SDR,亿美元,亿SDR
4,,100million USD,100million SDR,100million USD,100million SDR,100million USD,100million SDR,100million USD,100million SDR,100million USD,100million SDR,100million USD,100million SDR,100million USD,100million SDR,100million USD,100million SDR,100million USD,100million SDR,100million USD,100million SDR,100million USD,100million SDR,100million USD,100million SDR
5,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.  外汇储备,32090.36,24612.47,32272.24,24654.06,32406.65,24389.83,32816.62,24199.01,32852.55,24214.89,33174.22,24144.2,32922.35,24298.54,33221.54,24273.35,33386.58,24352.47,33433.43,24612.45,33463.72,24631.64,33578.69,24518.89
7,       Foreign currency reserves ,,,,,,,,,,,,,,,,,,,,,,,,
8,2.  基金组织储备头寸,100.48,77.07,100.87,77.06,101.12,76.1,111.86,82.48,113.03,83.31,112.86,82.14,109.28,80.65,113.4,82.86,112.29,81.91,110.58,81.4,110.59,81.4,111.79,81.63
9,       IMF reserve position,,,,,,,,,,,,,,,,,,,,,,,,
10,3.  特别提款权,527.12,404.29,530.77,405.48,538.82,405.53,550.51,405.95,552.18,407.00,559.30,407.06,552.69,407.92,560.13,409.26,561.14,409.3,555.62,409.03,557.16,410.11,558.24,407.62
11,       SDRs,,,,,,,,,,,,,,,,,,,,,,,,
12,4.  黄金,2065.34,1584.06,2086.43,1593.91,2295.94,1727.97,2435.85,1796.2,2419.88,1783.64,2429.31,1768.05,2439.85,1800.75,2538.43,1854.71,2832.91,2066.35,2972.09,2187.94,3106.47,2286.58,3194.50,2332.60
13,       Gold ,,,,,,,,,,,,,,,,,,,,,,,,
14,,7345万盎司,7345万盎司,7361万盎司,7361万盎司,7370万盎司,7370万盎司,7377万盎司,7377万盎司,7383万盎司,7383万盎司,7390万盎司,7390万盎司,7396万盎司,7396万盎司,7402万盎司,7402万盎司,7406万盎司,7406万盎司,7409万盎司,7409万盎司,7412万盎司,7412万盎司,7415万盎司,7415万盎司
15,5.  其他储备资产 ,-3.23,-2.48,-4.73,-3.61,-3.60,-2.71,-1.57,-1.16,'-3.00,-2.21,-4.88,-3.55,-3.47,-2.56,-2.01,'-1.47,-3.53,-2.57,-3.28,-2.41,-1.43,-1.05,-0.15,-0.11
16,      Other reserve assets ,,,,,,,,,,,,,,,,,,,,,,,,
17,    合计,34780.07,26675.41,34985.58,26726.9,35338.93,26596.72,35913.27,26482.48,35934.64,26486.63,36270.81,26397.9,36020.7,26585.3,36431.49,26618.71,36889.39,26907.46,37068.44,27288.41,37236.51,27408.68,37443.07,27340.63
18,      Total,,,,,,,,,,,,,,,,,,,,,,,,
19,   注：自2016年4月1日起，除按美元公布官方储备资产外，增加以国际货币基金组织特别提款权（SDR）公布相关数据，折算汇率来源于国际货币基金组织网站，其中2025年1月USD/SDR=0.766974，2025年2月USD/SDR=0.763940，2025年3月USD/SDR=0.752618，2025年4月USD/SDR=0.737401，2025年5月USD/SDR=0.737078，2025年6月USD/SDR=0.727800，2025年7月USD/SDR=0.738056，2025年8月USD/SDR=0.730651，2025年9月USD/SDR=0.729409，2025年10月USD/SDR=0.736163，2025年11月USD/SDR=0.736070，2025年12月USD/SDR=0.730192。,,,,,,,,,,,,,,,,,,,,,,,,
