,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,货币当局资产负债表,货币当局资产负债表,货币当局资产负债表,货币当局资产负债表,货币当局资产负债表,货币当局资产负债表,货币当局资产负债表,货币当局资产负债表,货币当局资产负债表,货币当局资产负债表,货币当局资产负债表,货币当局资产负债表,货币当局资产负债表,
1,Balance Sheet of Monetary Authority,Balance Sheet of Monetary Authority,Balance Sheet of Monetary Authority,Balance Sheet of Monetary Authority,Balance Sheet of Monetary Authority,Balance Sheet of Monetary Authority,Balance Sheet of Monetary Authority,Balance Sheet of Monetary Authority,Balance Sheet of Monetary Authority,Balance Sheet of Monetary Authority,Balance Sheet of Monetary Authority,Balance Sheet of Monetary Authority,Balance Sheet of Monetary Authority,
2,,,,单位：亿元,单位：亿元,单位：亿元,单位：亿元,单位：亿元,单位：亿元,单位：亿元,单位：亿元,单位：亿元,单位：亿元,
3,,,,Unit: 100 million yuan,Unit: 100 million yuan,Unit: 100 million yuan,Unit: 100 million yuan,Unit: 100 million yuan,Unit: 100 million yuan,Unit: 100 million yuan,Unit: 100 million yuan,Unit: 100 million yuan,Unit: 100 million yuan,
4,,,,,,,,,,,,,,
5,报表项目 Items,2006.01,2006.02,2006.03,2006.04,2006.05,2006.06,2006.07,2006.08,2006.09,2006.10,2006.11,2006.12,
6,国外资产 Foreign assets,66269.40,67214.75,68440.01,69110.69,70662.90,73446.28,75388.90,76380.83,78201.59,79957.69,81796.61,85772.64,
7,外汇 Foreign exchange,65062.06,65999.54,67230.32,67896.47,69430.23,72216.34,74160.90,75151.09,76975.05,78559.22,80400.07,84360.81,
8,货币黄金 Monetary gold,337.24,337.24,337.24,337.24,337.24,337.24,337.24,337.24,337.24,337.24,337.24,337.24,
9,其他国外资产 Other foreign assets,870.10,877.97,872.45,876.98,895.43,892.70,890.76,892.50,889.30,1061.23,1059.30,1074.59,
10,对政府债权 Claims on government,2892.43,2891.88,2891.88,2891.88,2891.88,2875.51,2862.46,2862.46,2862.46,2862.46,2856.41,2856.41,
11,其中：中央政府 Of which: Central government,2892.43,2891.88,2891.88,2891.88,2891.88,2875.51,2862.46,2862.46,2862.46,2862.46,2856.41,2856.41,
12,对其他存款性公司债权 Claims on other depository corporations,9080.89,7871.79,7808.61,7125.85,6959.06,6937.90,6942.97,6941.00,6920.45,6682.86,6584.29,6516.71,
13,对其他金融性公司债权 Claims on other financial corporations,18394.35,18403.55,18942.83,19564.69,20206.84,19097.34,19017.26,20118.51,20080.73,20858.90,21538.49,21949.75,
14,对非金融性公司债权 Claims on non-financial corporations,66.73,66.73,66.67,66.67,66.67,66.44,66.44,66.44,66.44,66.40,66.40,66.34,
15,其他资产 Other assets,11558.50,11551.88,11608.01,11608.17,11590.57,13482.30,11601.07,11604.76,11607.94,11461.54,11464.25,11412.84,
16,总资产 TOTAL ASSETS,108262.30,108000.58,109758.01,110367.95,112377.92,115905.77,115879.10,117974.00,119739.61,121889.85,124306.45,128574.69,
17,储备货币 Reserve money,67950.71,63514.64,62551.31,61046.38,61140.65,63096.19,62615.66,64200.49,66187.10,65232.44,68849.71,77757.83,
18,货币发行 Currency issue,32751.23,26593.45,25501.60,26165.81,25358.14,25452.68,25692.05,26173.72,28008.42,27012.30,27542.26,29138.70,
19,金融性公司存款 Deposit of financial corporations,35063.20,36783.44,36912.72,34729.27,35630.06,37456.72,36741.11,37832.02,37985.46,37965.57,41033.00,48459.26,
20,其他存款性公司 Other depository corporations,34942.63,36649.13,36802.62,34621.52,35514.74,37327.87,36605.43,37679.23,37856.63,37846.31,40884.30,48223.90,
21,其他金融性公司 Other financial corporations,120.57,134.31,110.10,107.75,115.32,128.85,135.68,152.79,128.83,119.26,148.70,235.36,
22,非金融性公司存款 Deposits of non-financial corporations,136.28,137.75,136.99,151.30,152.45,186.79,182.50,194.75,193.22,254.57,274.45,159.87,
23,活期存款 Demand deposits,136.28,137.75,136.99,151.30,152.45,186.79,182.50,194.75,193.22,254.57,274.45,159.87,
24,发行债券 Bond issue,20421.12,23831.17,27556.82,27636.95,27773.62,28642.89,29770.62,29436.11,30297.99,31054.89,30566.21,29740.58,
25,国外负债 Foreign liabilities,683.67,699.28,692.67,705.95,720.24,717.94,715.97,715.92,715.77,899.84,914.60,926.33,
26,政府存款 Deposits of government,8556.98,9000.20,9684.13,11780.44,13031.85,12047.22,14064.80,14471.94,14226.94,16285.40,15781.09,10210.65,
27,自有资金 Own capital,219.75,219.75,219.75,219.75,219.75,219.75,219.75,219.75,219.75,219.75,219.75,219.75,
28,其他负债 Other liabilities,10430.07,10735.54,9053.33,8978.48,9491.81,11181.78,8492.30,8929.79,8092.06,8197.53,7975.09,9719.55,
29,总负债 TOTAL LIABILITIES,108262.30,108000.58,109758.01,110367.95,112377.92,115905.77,115879.10,117974.00,119739.61,121889.85,124306.45,128574.69,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
